Date,AAPL,ABT,ADBE,AMGN,AMZN,BA,BKNG,BLK,BMY,CAT,COST,CRM,CSCO,CVX,DHR,DIS,FIS,GE,GILD,GOOGL,HON,IBM,INTC,JPM,KO,LIN,LMT,MCD,MDT,META,MMM,MRK,MSFT,NFLX,NKE,NVDA,ORCL,PEP,PFE,PYPL,QCOM,SAP,SBUX,SPGI,T,TSLA,TXN,UNH,V,WMT,ZTS
2001-02-23,293865600,5854076,12996200,8408000,102998000,2267000,1106233,62700,4465542,3277600,5331300,,100864600,3910600,4179618,5774658,,4876120,31908800,,5438605,15979324,63558300,9708100,9069200,2848600,1547800,4653000,3236500,,6721998,5378336,92620600,,7768800,1034664000,72859000,4247700,10536627,,149932400,1057800,18066400,1297000,8490547,,22125500,7837600,,24244800,
2001-02-26,206438400,4980610,10706000,8894500,124582000,1854600,496667,50100,3432632,2167600,3528900,,91552600,4188800,2606682,4354790,,4397261,35779200,,7046376,8727929,60349600,8783500,9415600,2189400,1776400,2763600,3464200,,4028128,4406840,87936800,,17316000,751824000,44847400,3083700,11785301,,53842800,611700,14198400,1139600,6704074,,13686700,7338400,,18180600,
2001-02-27,348516000,7796376,14330400,10470700,154652000,2993000,174217,30400,5880159,3713600,5412200,,124980300,4672200,2962571,3988951,,4711360,25470400,,9968013,10238143,40787300,11744300,7369600,1652200,2501900,3666300,5490800,,4563697,4327716,99148600,,97760800,533832000,41584600,3202800,8524541,,47386000,552900,16296000,1230200,8358280,,13832100,8135200,,21142200,
2001-02-28,508233600,7877240,16653000,10927300,292596000,3053200,202717,59400,5772045,3025200,4541200,,118246500,4308800,3785640,3658794,,5540688,18251200,,10117588,12482127,48601400,10510600,11189600,2629600,1790100,4582200,4426200,,5003107,6623465,84608400,,23287200,784056000,62362300,2251300,14788990,,57997000,722300,20444800,807800,10766636,,13026400,7023200,,23244600,
2001-03-01,330461600,5607920,11879600,9877900,219934000,4226100,347683,19700,4116195,3337000,5401200,,119256900,5236000,7088627,6341814,,4999085,31913600,,5447311,15796692,56268300,10551800,9725000,2080200,1868900,4732100,6103500,,6006073,4790513,81781600,,9636800,915288000,76869400,3359900,15638514,,55642200,500700,19032000,803600,11526876,,12942000,10278400,,26078400,
2001-03-02,406201600,6294485,13925000,8758100,150912000,3796100,178817,11000,3940314,2591600,6332700,,123632700,5213800,2813788,6720324,,4586622,20952000,,3979150,15423793,54626200,7559700,9115800,1432800,1910800,4924700,5945200,,6381138,3650184,79800800,,11933600,1413504000,224088800,3230200,16768613,,54743000,1710900,45720800,880800,27288170,,18867500,6264400,,19417200,
2001-03-05,324172800,3525500,8714600,6120600,470014000,2814700,122250,20500,2645262,3643000,4652800,,82668400,6764600,2743562,4323467,,3478793,14086400,,4029288,7054119,33275700,5988200,14449600,2493200,1879900,2781400,2582100,,3180164,3533961,49383600,,14545600,742296000,51544000,2086800,10606507,,22659000,812300,13332800,837600,8117179,,9584800,6898800,,13704300,
2001-03-06,731802400,5575396,17270600,6934900,463830000,2783400,188083,13600,4354591,3706000,12305400,,88650300,6489800,2165688,7374861,,3274242,17443200,,4377736,8493520,59734200,6844500,9274600,3046600,1742000,5627300,3095100,,3793951,5640965,66781800,,9149600,834408000,57448400,3879400,11234902,,41703600,366400,15170400,597200,8301612,,11763600,6894000,,15290400,
2001-03-07,419540800,7118275,9144000,8970300,212882000,3475800,120100,23300,7082752,6538000,9365700,,74824100,4273400,3427965,6147694,,2898212,11878400,,2869297,8147189,77832700,7296600,10325800,3982400,3779400,3803700,3017100,,3493277,8447404,59743600,,8788000,938280000,52486500,2980900,16834593,,45456400,402600,16062400,1013400,10177058,,10558200,6291600,,16259700,
2001-03-08,204859200,6186889,9673400,12403600,99152000,4227400,115867,20700,4816885,7539400,18114700,,78985300,5803000,2619775,4975672,,3457969,14043200,,4705626,7106106,64903100,7064400,9774600,2169200,2303000,4038800,4643700,,5808733,8119904,54626000,,11703200,829344000,40342100,2644800,14448127,,22061200,1414800,18649600,1183400,6142566,,7530500,5147600,,18103200,
2001-03-09,299135200,6994863,15267200,7722400,177134000,2721500,242117,74300,5402631,5092800,5296300,,159948800,3767800,3448199,3593614,,4150560,20886400,,5628563,17455753,95273400,6377600,7863400,2356800,1443400,3745400,2465500,,7185807,5265886,103794400,,7976800,1216776000,58409900,2090400,11833574,,33687600,1404100,10895200,850400,7982793,,10589900,5487200,,16699500,
2001-03-12,391020000,4668737,6563600,9657100,114330000,4324900,157233,38200,4874776,4708200,5325400,,177487400,4479600,4446832,7217942,,9537589,55155200,,9303528,15161561,59597600,8549500,7984800,1295600,2569100,4978100,3460800,,6577522,5265781,114376000,,3953600,762144000,66843000,2494700,14492711,,48112000,1316100,18232800,1290400,8570649,,14467600,5508400,,17220600,
2001-03-13,443329600,6319881,7086600,12066400,66614000,4802100,171100,21400,7026226,4328600,4371300,,135080500,5286600,4722974,8567055,,8959888,23748800,,7706875,12685783,52027200,7065900,10361200,2191000,1605700,8211200,4067800,,11871496,9136254,91035600,,7943200,1082352000,57981600,3330600,22590909,,42182600,1559400,26437600,1208800,7598436,,11610400,9993200,,23877300,
2001-03-14,477775200,7801722,6756400,13360300,62488000,6086000,94767,40500,6087035,4435600,5568400,,15405900,4671800,4215921,6014698,,7394379,35952000,,7951691,14901944,57451000,16205000,14145800,1038400,2859600,9960400,5091000,,13531544,5866599,90686200,,7587200,1351128000,52862100,3768400,19624321,,40149000,1066200,17613600,1629000,13652426,,9946200,6459600,,25646700,
2001-03-15,529317600,8433265,9095600,6869600,116498000,5186800,110900,12300,6158165,2643600,3920600,,87632100,4381200,3416657,5260112,,5184773,24556800,,5257458,8807320,40752100,8561300,9442800,1178200,1865300,5756500,4982300,,5049034,7885362,71638400,,9785600,1875984000,77834800,5130300,19019957,,26985600,1337400,12659200,1158800,11411556,,9395200,5696400,,22529100,
2001-03-16,470316000,14249025,27958000,11703600,139684000,11244000,168600,67800,10010013,5420800,5875900,,10082600,7003000,5687089,8240953,,9358703,33147200,,10154090,20950752,59068600,10739300,18494000,2227800,2283900,8455500,6144400,,8081133,10012068,112848800,,16113600,1225200000,89327600,5719100,29578402,,30580400,1572900,20744800,2026400,14421935,,10729200,10479200,,41579400,
2001-03-19,356008800,8216959,17031800,8085500,135490000,6193500,221800,117300,4594248,2889400,4065200,,67185500,5335800,4364109,3868525,,4346807,23337600,,5239102,10706333,76656300,9742500,7439600,1911200,2206400,4393500,4061700,,5638422,4925705,61036400,,8687200,943896000,50443200,2821700,14799109,,44608600,651800,14292800,802400,7198191,,10163300,7978400,,17567400,
2001-03-20,499206400,7943402,16440400,8771200,125894000,4360500,174867,90500,6452457,4723800,9488400,,15255800,5971200,4470042,4354384,,4658256,19283200,,4472872,10565751,64431100,10213200,8841200,3459400,1586800,4981800,5589800,,6583980,5551256,91822800,,13690400,1990560000,65545100,5419000,16182484,,42417400,1006600,18596800,719400,7336416,,11430800,5508400,,30106800,
2001-03-21,371375200,9007111,11570800,24281500,110132000,3758400,142900,31600,4824029,5537800,4836200,,3497900,5890400,7211819,7496300,,5600657,27972800,,4446859,11519598,68549500,12026300,18423000,1865600,1605800,6182500,4640400,,10746778,6039100,124988600,,27081600,1877352000,50574600,7319300,18525209,,43807600,879600,25528000,1085000,9430720,,13260900,12255200,,24980700,
